,participant,demographics_mean_reation_time_ms,demographics_income_a,demographics_computer_hours_a,demographics_age_a
5200,709209.0,7518.714285714285,3.0,0.0,33.0
5300,599007.0,10165.285714285714,4.0,70.0,39.0
5400,652890.0,13114.0,7.0,5.0,33.0
5500,737724.0,7463.857142857143,4.0,60.0,37.0
5600,937746.0,4538.857142857143,6.0,4.0,51.0
5700,793438.0,7049.714285714285,2.0,35.0,43.0
5800,153366.0,7687.857142857143,6.0,22.0,42.0
5900,223984.0,6877.285714285715,3.0,5.0,38.0
6000,256218.0,6406.571428571428,6.0,15.0,29.0
6100,486018.0,3070.285714285714,5.0,4.0,33.0
6200,100934.0,11453.57142857143,7.0,25.0,28.0
6300,722252.0,5409.428571428572,6.0,15.0,31.0
6400,438401.0,6620.714285714285,3.0,16.0,34.0
6500,699794.0,8122.285714285715,7.0,19.0,26.0
6600,889197.0,12498.42857142857,5.0,1.0,63.0
6700,208212.0,8066.0,4.0,55.0,41.0
6800,628718.0,5780.714285714285,8.0,3.0,47.0
6900,276141.0,7157.285714285715,5.0,10.0,38.0
7000,489027.0,7128.142857142857,7.0,90.0,50.0
7100,223992.0,6863.857142857143,6.0,25.0,23.0
7200,393191.0,6400.428571428572,4.0,80.0,43.0
7300,317920.0,8151.428571428572,7.0,10.0,33.0
7400,819142.0,5553.857142857143,2.0,40.0,40.0
7500,723258.0,10448.57142857143,6.0,20.0,34.0
7600,468185.0,8275.57142857143,8.0,25.0,32.0
7700,678629.0,5048.714285714285,2.0,0.0,30.0
7800,892549.0,9123.142857142857,4.0,14.0,32.0
7900,352526.0,6903.285714285715,5.0,8.0,39.0
8000,674647.0,4459.0,5.0,4.0,40.0
8100,491090.0,5915.428571428572,1.0,60.0,37.0
8200,960412.0,15889.714285714286,8.0,79.0,26.0
8300,573978.0,3852.8571428571427,6.0,44.0,32.0
8400,216377.0,5166.428571428572,7.0,35.0,33.0
8500,840021.0,7059.428571428572,5.0,13.0,22.0
8600,360939.0,8468.42857142857,5.0,2.0,44.0
8700,513724.0,18662.714285714286,5.0,10.0,29.0
8800,663604.0,4796.428571428572,1.0,10.0,30.0
8900,235651.0,9223.714285714286,6.0,6.0,53.0
9000,663372.0,14350.142857142857,6.0,18.0,31.0
9100,559530.0,3341.5714285714284,9.0,67.0,29.0
9200,644865.0,6464.142857142857,4.0,1.0,41.0
9300,948158.0,8367.42857142857,4.0,1.0,30.0
9400,217762.0,6776.714285714285,3.0,10.0,44.0
9500,107700.0,4175.714285714285,4.0,4.0,35.0
9600,812735.0,5331.142857142857,2.0,7.0,39.0
9700,412246.0,7632.857142857143,3.0,4.0,45.0
9800,152049.0,10243.42857142857,6.0,75.0,23.0
9900,165654.0,2845.285714285714,4.0,1.0,27.0
