participant,demographics_mean_reation_time_ms,demographics_income_a,demographics_computer_hours_a,demographics_age_a
737724.0,7463.857142857143,4.0,60.0,37.0
738408.0,9111.57142857143,9.0,82.0,25.0
739085.0,4078.285714285714,7.0,55.0,25.0
739375.0,6914.857142857143,2.0,0.0,57.0
774789.0,4532.142857142857,4.0,20.0,50.0
793438.0,7049.714285714285,2.0,35.0,43.0
794450.0,3674.5714285714284,6.0,5.0,29.0
812735.0,5331.142857142857,2.0,7.0,39.0
816404.0,5502.0,6.0,20.0,28.0
818967.0,8837.142857142857,4.0,8.0,69.0
819142.0,5553.857142857143,2.0,40.0,40.0
819705.0,7322.428571428572,9.0,78.0,26.0
823460.0,5114.285714285715,2.0,16.0,35.0
840021.0,7059.428571428572,5.0,13.0,22.0
844810.0,6612.428571428572,6.0,22.0,32.0
847759.0,16843.14285714286,3.0,10.0,60.0
852903.0,5996.142857142857,7.0,20.0,22.0
855028.0,10572.857142857143,5.0,1.0,44.0
864636.0,5432.0,4.0,3.0,34.0
865667.0,6945.857142857143,3.0,20.0,44.0
866118.0,5920.0,5.0,10.0,44.0
867257.0,8536.285714285714,8.0,8.0,45.0
869019.0,6297.428571428572,3.0,32.0,34.0
873417.0,5052.714285714285,5.0,40.0,23.0
875596.0,6708.571428571428,9.0,95.0,25.0
875693.0,8470.0,2.0,48.0,39.0
882397.0,4254.285714285715,6.0,27.0,33.0
889197.0,12498.42857142857,5.0,1.0,63.0
889968.0,12547.0,6.0,60.0,40.0
891096.0,8511.714285714286,7.0,3.0,55.0
892549.0,9123.142857142857,4.0,14.0,32.0
895200.0,9618.142857142857,7.0,94.0,33.0
895883.0,12833.714285714286,9.0,75.0,25.0
896860.0,8183.571428571428,3.0,0.0,75.0
897924.0,7299.714285714285,3.0,20.0,44.0
905859.0,7352.857142857143,6.0,36.0,25.0
919015.0,6090.571428571428,5.0,10.0,31.0
924198.0,9335.857142857143,6.0,61.0,25.0
929907.0,5617.285714285715,2.0,66.0,28.0
934851.0,7993.142857142857,9.0,44.0,25.0
936870.0,8443.285714285714,6.0,3.0,34.0
937746.0,4538.857142857143,6.0,4.0,51.0
941737.0,9851.57142857143,8.0,23.0,36.0
948158.0,8367.42857142857,4.0,1.0,30.0
948299.0,7729.0,7.0,74.0,33.0
948779.0,5543.714285714285,3.0,12.0,43.0
951022.0,4102.0,2.0,60.0,20.0
951797.0,12308.857142857143,6.0,7.0,28.0
952799.0,3179.8571428571427,7.0,24.0,55.0
960412.0,15889.714285714286,8.0,79.0,26.0
963191.0,7137.714285714285,4.0,2.0,49.0
971229.0,4657.142857142857,9.0,2.0,33.0
976061.0,6882.571428571428,3.0,20.0,34.0
977008.0,5017.714285714285,8.0,64.0,25.0
978676.0,14197.857142857143,5.0,5.0,59.0
979785.0,7352.285714285715,5.0,12.0,40.0
984020.0,6455.285714285715,5.0,39.0,35.0
987993.0,7644.857142857143,9.0,40.0,26.0
998593.0,9284.714285714286,8.0,72.0,25.0
